"filename", "language", "vue", "JavaScript", "Markdown", "TypeScript", "HTML", "JSON", "JSON with Comments", "SCSS", "CSS", "comment", "blank", "total"
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-text\libs\function\addUnit.js", "JavaScript", 0, -6, 0, 0, 0, 0, 0, 0, 0, -2, -2, -10
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-text\libs\function\digit.js", "JavaScript", 0, -89, 0, 0, 0, 0, 0, 0, 0, -56, -23, -168
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-text\libs\function\test.js", "JavaScript", 0, -166, 0, 0, 0, 0, 0, 0, 0, -94, -29, -289
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-text\libs\mixin\button.js", "JavaScript", 0, -13, 0, 0, 0, 0, 0, 0, 0, 0, -1, -14
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-text\libs\mixin\mixin.js", "JavaScript", 0, -113, 0, 0, 0, 0, 0, 0, 0, -47, -1, -161
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-text\libs\mixin\openType.js", "JavaScript", 0, -25, 0, 0, 0, 0, 0, 0, 0, 0, -1, -26
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-text\props-default-value.js", "JavaScript", 0, -26, 0, 0, 0, 0, 0, 0, 0, 0, -1, -27
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-text\props.js", "JavaScript", 0, -93, 0, 0, 0, 0, 0, 0, 0, -22, -2, -117
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-text\theme.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, -31, 0, -3, -7, -41
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-text\u-text.vue", "vue", -246, 0, 0, 0, 0, 0, 0, 0, 0, 0, -17, -263
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-text\value.js", "JavaScript", 0, -98, 0, 0, 0, 0, 0, 0, 0, -27, -5, -130
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-th\u-th.vue", "vue", -59, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -63
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-time-line-item\u-time-line-item.vue", "vue", -77, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -84
