"filename", "language", "JavaScript", "Markdown", "TypeScript", "HTML", "JSON", "JSON with Comments", "SCSS", "vue", "CSS", "comment", "blank", "total"
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-input\u-input.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 488, 0, 0, 14, 502
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-keyboard\u-keyboard.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 274, 0, 0, 12, 286
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-lazy-load\u-lazy-load.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 248, 0, 0, 7, 255
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-line-progress\u-line-progress.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 137, 0, 0, 11, 148
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-line\u-line.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 5, 85
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-link\u-link.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 94, 0, 0, 4, 98
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-loading-page\u-loading-page.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 8, 26
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-loading\u-loading.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 10, 109
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-loadmore\u-loadmore.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 193, 0, 2, 10, 205
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-mask\u-mask.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 132, 0, 0, 6, 138
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-message-input\u-message-input.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 306, 0, 0, 22, 328
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-modal\u-modal.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 330, 0, 0, 10, 340
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-navbar\u-navbar.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 301, 0, 1, 14, 316
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-no-network\u-no-network.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 220, 0, 3, 11, 234
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-notice-bar\u-notice-bar.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 263, 0, 0, 11, 274
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-number-box\u-number-box.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 465, 0, 1, 11, 477
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-number-keyboard\u-number-keyboard.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 162, 0, 0, 9, 171
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-parse\u-parse.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 659, 0, 8, 7, 674
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-picker\u-picker.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 918, 0, 1, 27, 946
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-popup\u-popup.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 464, 0, 1, 22, 487
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-radio-group\u-radio-group.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 173, 0, 0, 5, 178
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-radio\u-radio.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 265, 0, 0, 13, 278
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-rate\u-rate.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 286, 0, 0, 8, 294
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-read-more\u-read-more.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 184, 0, 0, 8, 192
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-row-notice\u-row-notice.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 260, 0, 0, 11, 271
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-row\u-row.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 5, 86
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-search\u-search.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 346, 0, 0, 12, 358
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-section\u-section.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 147, 0, 0, 9, 156
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-select\u-select.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 435, 0, 9, 15, 459
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-skeleton\u-skeleton.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 193, 0, 0, 7, 200
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-slider\u-slider.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 281, 0, 0, 10, 291
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-steps\u-steps.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 183, 0, 0, 18, 201
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-sticky\u-sticky.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 161, 0, 0, 6, 167
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-subsection\u-subsection.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 391, 0, 0, 12, 403
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-swipe-action\u-swipe-action.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 249, 0, 0, 8, 257
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-swiper-plus\components\u-swiper-indicator.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 125, 0, 0, 11, 136
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-swiper-plus\u-swiper-plus.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 517, 0, 7, 14, 538
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-swiper\u-swiper.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 325, 0, 0, 17, 342
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-switch\u-switch.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 182, 0, 0, 10, 192
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-tabbar\u-tabbar.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 371, 0, 1, 12, 384
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-table\u-table.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 4, 93
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-tabs-swiper\u-tabs-swiper.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 470, 0, 0, 20, 490
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-tabs\u-tabs.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 387, 0, 1, 12, 400
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-tag\u-tag.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 268, 0, 0, 28, 296
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-td\u-td.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 5, 68
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-text\libs\function\addUnit.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 10
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-text\libs\function\digit.js", "JavaScript", 89, 0, 0, 0, 0, 0, 0, 0, 0, 56, 23, 168
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-text\libs\function\test.js", "JavaScript", 166, 0, 0, 0, 0, 0, 0, 0, 0, 94, 29, 289
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-text\libs\mixin\button.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-text\libs\mixin\mixin.js", "JavaScript", 113, 0, 0, 0, 0, 0, 0, 0, 0, 47, 1, 161
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-text\libs\mixin\openType.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-text\props-default-value.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-text\props.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 22, 2, 117
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-text\theme.scss", "SCSS", 0, 0, 0, 0, 0, 0, 31, 0, 0, 3, 7, 41
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-text\u-text.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 246, 0, 0, 17, 263
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-text\value.js", "JavaScript", 98, 0, 0, 0, 0, 0, 0, 0, 0, 27, 5, 130
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-th\u-th.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 4, 63
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-time-line-item\u-time-line-item.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 7, 84
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-time-line\u-time-line.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 6, 44
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-toast\u-toast.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 206, 0, 0, 15, 221
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-top-tips\u-top-tips.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 111, 0, 0, 11, 122
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-tr\u-tr.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 4, 26
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-trees\CssHandler.js", "JavaScript", 97, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 101
